,UK Model Names: ,UK Prices: ,AU Model Names: ,AU Prices: ,Better or Worse Value: ,GBP to AUD converted: 
0,"Mortarion, Daemon Primarch of Nurgle",95.00,"Mortarion, Daemon Primarch of Nurgle",230.00,Cheaper in AUD,166.25
1,Inquisitor Karamazov,40.00,Inquisitor Karamazov,90.00,Worse in AUD,70.0
2,Deathwatch Terminator Captain,18.00,Deathwatch Terminator Captain,30.00,Worse in AUD,31.5
3,Vindicare Assassin,24.00,Inquisitor Coteaz,28.00,Worse in AUD,42.0
4,Inquisitor Coteaz,17.00,Tidewall Shieldline,102.00,Worse in AUD,29.75
5,Nemesis Dreadknight,40.00,Nemesis Dreadknight,90.00,Worse in AUD,70.0
6,Ravager,35.00,Ravager,83.00,Worse in AUD,61.25
7,Taurox Prime,32.50,Eversor Assassin,60.00,Worse in AUD,56.875
8,Eversor Assassin,24.00,Taurox Prime,55.00,Worse in AUD,42.0
9,Death Cult Assassins,13.00,Commander Farsight,54.00,Worse in AUD,22.75
10,Tesseract Vault,100.00,Adeptus Mechanicus Onager Dunecrawler,112.00,Cheaper in AUD,175.0
11,Adeptus Mechanicus Onager Dunecrawler,47.50,Bjorn the Fell-Handed,82.00,Worse in AUD,83.125
12,Tidewall Droneport,37.50,Assault Squad,76.00,Worse in AUD,65.625
13,Blood Angels Terminator Assault Squad,36.00,Assault Squad,76.00,Worse in AUD,63.0
14,Bjorn the Fell-Handed,36.00,Blood Angels Terminator Assault Squad,75.00,Worse in AUD,63.0
15,Assault Squad,32.50,Harlequin Troupe,65.00,Worse in AUD,56.875
16,Assault Squad,32.50,Tech -Priest Dominus,60.00,Worse in AUD,56.875
17,Harlequin Troupe,26.00,Callidus Assassin,53.00,Worse in AUD,45.5
18,Tech -Priest Dominus,24.00,Stompa,165.00,Worse in AUD,42.0
19,Callidus Assassin,20.00,Primaris Intercessors,98.00,Worse in AUD,35.0
20,Stompa,80.00,XV104 Riptide Battlesuit,90.00,Cheaper in AUD,140.0
21,XV104 Riptide Battlesuit,67.50,Baal Predator,83.00,Cheaper in AUD,118.125
22,Baal Predator,40.00,Adeptus Mechanicus Sydonian Dragoon,83.00,Worse in AUD,70.0
23,Logan Grimnar on Stormrider,37.50,Logan Grimnar on Stormrider,82.00,Worse in AUD,65.625
24,Primaris Intercessors,36.00,Triarch Stalker,79.00,Worse in AUD,63.0
25,Deathwing Knights,36.00,Corpuscarii Electro-Priests,70.00,Worse in AUD,63.0
26,Ogryns,35.00,Raider,66.00,Worse in AUD,61.25
27,Adeptus Mechanicus Sydonian Dragoon,35.00,Ogryns,65.00,Worse in AUD,61.25
28,Triarch Stalker,35.00,Culexus Assassin,60.00,Worse in AUD,61.25
29,Raider,32.50,Primaris Hellblasters,98.00,Worse in AUD,56.875
30,Corpuscarii Electro-Priests,30.00,Thunderwolf Cavalry,96.00,Worse in AUD,52.5
31,Culexus Assassin,24.00,Adeptus Mechanicus Ironstrider Ballistarius,83.00,Worse in AUD,42.0
32,Lord Kaldor Draigo,17.00,Meganobz,81.00,Worse in AUD,29.75
33,Inquisitor with Inferno Pistol & Power Sword,13.00,Grey Knights Paladins,80.00,Worse in AUD,22.75
34,Ravenwing Dark Talon,47.50,XV88 Broadside Battlesuit,74.00,Worse in AUD,83.125
35,Kill Team Cassius,42.50,Skyweavers,71.00,Worse in AUD,74.375
36,Meganobz,40.00,Fulgurite Electro-Priests,70.00,Worse in AUD,70.0
37,Primaris Hellblasters,36.00,Windriders,70.00,Worse in AUD,63.0
38,Thunderwolf Cavalry,36.00,Inquisitor with Combi-weapon,25.00,Worse in AUD,63.0
39,Adeptus Mechanicus Ironstrider Ballistarius,35.00,Corvus Blackstar,122.00,Worse in AUD,61.25
40,Grey Knights Paladins,32.50,Haruspex ,100.00,Worse in AUD,56.875
41,Windriders,32.50,Leman Russ Demolisher,89.00,Worse in AUD,56.875
42,Fulgurite Electro-Priests,30.00,Hammerhead Gunship,85.00,Worse in AUD,52.5
43,Skyweavers,30.00,Sammael,83.00,Worse in AUD,52.5
44,Inquisitor with Combi-weapon,12.00,Grey Hunters,72.00,Worse in AUD,21.0
45,Corvus Blackstar,52.50,Veterans,66.00,Cheaper in AUD,91.875
46,Voidraven Bomber,52.50,Grand Master Voldus,60.00,Cheaper in AUD,91.875
47,Haruspex ,47.50,Death Jester,31.00,Worse in AUD,83.125
48,Hammerhead Gunship,40.00,Crusaders,18.00,Worse in AUD,70.0
49,Leman Russ Demolisher,36.00,KV128 Stormsurge,250.00,Worse in AUD,63.0
50,Grey Hunters,32.50,Gorkanaut,115.00,Worse in AUD,56.875
51,Sammael,32.50,Plagueburst Crawler,110.00,Worse in AUD,56.875
52,Veterans,26.00,Kataphron Breachers,98.00,Worse in AUD,45.5
53,Grand Master Voldus,22.50,Grey Knights Terminator Squad,80.00,Worse in AUD,39.375
54,Death Jester,18.00,Skitarii Rangers,72.00,Worse in AUD,31.5
55,Crusaders,13.00,Razorwing Jetfighter,69.00,Worse in AUD,22.75
56,KV128 Stormsurge,105.00,Necron Catacomb Command Barge,66.00,Cheaper in AUD,183.75
57,Gorkanaut,80.00,Shadowseer,31.00,Cheaper in AUD,140.0
58,Plagueburst Crawler,42.50,Grey Knights Interceptor Squad,100.00,Worse in AUD,74.375
59,Kataphron Breachers,36.00,Grey Knights Strike Squad,100.00,Worse in AUD,63.0
60,Razorwing Jetfighter,32.50,Purgation Squad,100.00,Worse in AUD,56.875
61,Grey Knights Terminator Squad,32.50,Grey Knights Purifier Squad,100.00,Worse in AUD,56.875
62,Necron Catacomb Command Barge,32.50,Kataphron Destroyers,98.00,Worse in AUD,56.875
63,Skitarii Rangers,30.00,Ravenwing Darkshroud,85.00,Worse in AUD,52.5
64,Shadowseer,18.00,Furioso Dreadnought,79.00,Worse in AUD,31.5
65,Tyranid Malanthrope,64.00,Skitarii Vanguard,72.00,Cheaper in AUD,112.0
66,Ravenwing Darkshroud,42.50,Watch Master,34.00,Worse in AUD,74.375
67,Grey Knights Strike Squad,40.00,Preacher with Chainsword,19.00,Worse in AUD,70.0
68,Grey Knights Interceptor Squad,40.00,Stormraven Gunship,130.00,Worse in AUD,70.0
69,Grey Knights Purifier Squad,40.00,Hydra,85.00,Worse in AUD,70.0
70,Purgation Squad,40.00,Fire Warriors Strike Team,85.00,Worse in AUD,70.0
71,Kataphron Destroyers,36.00,Sicarian Infiltrators,83.00,Worse in AUD,63.0
72,Furioso Dreadnought,36.00,Talos,74.00,Worse in AUD,63.0
73,Basilisk,35.00,"Azrael, Supreme Grand Master",33.00,Worse in AUD,61.25
74,Skitarii Vanguard,30.00,Sanguinary Priest,33.00,Worse in AUD,52.5
75,Watch Master,21.00,XV95 Ghostkeel Battlesuit,125.00,Worse in AUD,36.75
76,Solitaire,17.00,Deathshroud Bodyguard,98.00,Worse in AUD,29.75
77,Preacher with Chainsword,12.00,Sicarian Ruststalkers,83.00,Worse in AUD,21.0
78,Stormraven Gunship,67.50,Wolf Guard Terminators,80.00,Cheaper in AUD,118.125
79,Hydra,36.00,Wracks,55.00,Worse in AUD,63.0
80,Tyrannofex,36.00,Valkyrie,122.00,Worse in AUD,63.0
81,Talos,35.00,Wulfen,100.00,Worse in AUD,61.25
82,Sicarian Infiltrators,32.50,Rubric Marines,90.00,Worse in AUD,56.875
83,Fire Warriors Strike Team,32.50,Flash Gitz,71.00,Worse in AUD,56.875
84,Sanguinary Priest,21.00,Lychguard,66.00,Worse in AUD,36.75
85,"Azrael, Supreme Grand Master",18.00,Drop Pod,60.00,Worse in AUD,31.5
86,XV95 Ghostkeel Battlesuit,52.50,Reavers,58.00,Cheaper in AUD,91.875
87,Land Raider,52.50,"Ezekiel, Grand Master of Librarians",28.00,Cheaper in AUD,91.875
88,Deathshroud Bodyguard,36.00,Morkanaut,115.00,Worse in AUD,63.0
89,Wolf Guard Terminators,35.00,Kairos Fateweaver,190.00,Worse in AUD,61.25
90,Sicarian Ruststalkers,32.50,Monolith,280.00,Worse in AUD,56.875
91,Hellhound,32.50,"Szarekh, The Silent King\t\t\t\t\t\t",250.00,Worse in AUD,56.875
92,Wracks,22.50,Rotigus,230.00,Worse in AUD,39.375
93,Blood Angels Librarian in Terminator Armour,20.00,Keeper of Secrets,230.00,Worse in AUD,35.0
94,Belial,17.00,Great Unclean One,230.00,Worse in AUD,29.75
95,Chaos Land Raider,52.50,Space Marines: Honoured of the Chapter                                       ,230.00,Cheaper in AUD,91.875
96,Valkyrie,52.50,Magnus the Red,220.00,Cheaper in AUD,91.875
97,Wulfen,36.00,Hunta Rig,210.00,Worse in AUD,63.0
98,Flash Gitz,35.00,Kill Rig,210.00,Worse in AUD,61.25
99,Rubric Marines,35.00,Skarbrand,200.00,Worse in AUD,61.25
100,Lychguard,32.50,Battle Sanctum,190.00,Worse in AUD,56.875
101,Drop Pod,30.00,Lord of Change,190.00,Worse in AUD,52.5
102,Striking Scorpions,27.50,Knight Preceptor,185.00,Worse in AUD,48.125
103,Reavers,26.00,Imperial Knight Crusader,185.00,Worse in AUD,45.5
104,"Ezekiel, Grand Master of Librarians",18.00,Knight Despoiler,185.00,Worse in AUD,31.5
105,Morkanaut,80.00,Knight Paladin,185.00,Cheaper in AUD,140.0
106,Kairos Fateweaver,90.00,Knight Errant,185.00,Cheaper in AUD,157.5
107,Tyranid Hierophant Bio-Titan,312.50,C'tan Shard of the Void Dragon,180.00,Cheaper in AUD,546.875
108,Tyranid Harridan,312.50,The Triumph of Saint Katherine,180.00,Cheaper in AUD,546.875
109,Tyranid Barbed Hierodule,127.50,Necrons Royal Court\t\t\t\t\t\t,180.00,Cheaper in AUD,223.125
110,Tyranid Scythed Hierodule,127.50,Daemons Of Khorne Bloodthirster,170.00,Cheaper in AUD,223.125
111,Tyranid Dimachaeron,110.00,Archaeopter Stratoraptor,165.00,Cheaper in AUD,192.5
112,Monolith,105.00,Archaeopter Transvector,165.00,Cheaper in AUD,183.75
113,Knight Paladin,100.00,Primaris Repulsor Executioner,165.00,Cheaper in AUD,175.0
114,Knight Preceptor,100.00,Archaeopter Fusilave,165.00,Cheaper in AUD,175.0
115,Knight Despoiler,100.00,Battlewagon,165.00,Cheaper in AUD,175.0
116,Obelisk & Transcendent C'tan,100.00,Gunwagon,165.00,Cheaper in AUD,175.0
117,Imperial Knight Crusader,100.00,Bonebreaka,165.00,Cheaper in AUD,175.0
118,Knight Errant,100.00,Gladiator Reaper,140.00,Cheaper in AUD,175.0
119,Magnus the Red,95.00,Primaris Repulsor,140.00,Cheaper in AUD,166.25
120,"Szarekh, The Silent King\t\t\t\t\t\t",95.00,Exorcist,140.00,Cheaper in AUD,166.25
121,Skarbrand,90.00,Castigator\t\t\t\t\t\t,140.00,Cheaper in AUD,157.5
122,Shadowsword,90.00,Gladiator Valiant,140.00,Cheaper in AUD,157.5
123,Keeper of Secrets,90.00,Gladiator Lancer,140.00,Cheaper in AUD,157.5
124,Banesword,90.00,Land Raider Redeemer,132.00,Cheaper in AUD,157.5
125,Banehammer,90.00,Land Raider Crusader,132.00,Cheaper in AUD,157.5
126,Great Unclean One,90.00,Primaris Impulsor,125.00,Cheaper in AUD,157.5
127,Hellhammer,90.00,Skorpius Dunerider,125.00,Cheaper in AUD,157.5
128,Wraithknight,90.00,Skorpius Disintegrator,125.00,Cheaper in AUD,157.5
129,Lord of Change,90.00,Immolator,125.00,Cheaper in AUD,157.5
130,Space Marines: Honoured of the Chapter                                       ,90.00,Kastelan Robots,118.00,Cheaper in AUD,157.5
131,Stormsword,90.00,Dakkajet,110.00,Cheaper in AUD,157.5
132,Stormlord,90.00,Storm Speeder Hailstrike,110.00,Cheaper in AUD,157.5
133,Rotigus,90.00,Ghazghkull Thraka\t\t\t\t\t\t,110.00,Cheaper in AUD,157.5
134,Daemons Of Khorne Bloodthirster,90.00,Storm Speeder Hammerstrike,110.00,Cheaper in AUD,157.5
135,Baneblade,90.00,"Vex Machinator, Arch-Lord Discordant",110.00,Cheaper in AUD,157.5
136,Doomhammer,90.00,Wazbom Blastajet,110.00,Cheaper in AUD,157.5
137,Hunta Rig,80.00,Paragon Warsuits,110.00,Cheaper in AUD,140.0
138,Kill Rig,80.00,Gaunt's Ghosts\t\t\t\t\t\t,110.00,Cheaper in AUD,140.0
139,Battle Sanctum,75.00,Burna-Bommer,110.00,Cheaper in AUD,131.25
140,C'tan Shard of the Void Dragon,70.00,Storm Speeder Thunderstrike,110.00,Cheaper in AUD,122.5
141,Necrons Royal Court\t\t\t\t\t\t,70.00,Primaris Redemptor Dreadnought,110.00,Cheaper in AUD,122.5
142,Archaeopter Fusilave,65.00,Big'ed Bossbunka,110.00,Cheaper in AUD,113.75
143,Land Raider Crusader,65.00,Blitza-Bommer,110.00,Cheaper in AUD,113.75
144,Gunwagon,65.00,Roboute Guilliman,105.00,Cheaper in AUD,113.75
145,Land Raider Redeemer,65.00,Primaris Invictor Tactical Warsuit,105.00,Cheaper in AUD,113.75
146,Battlewagon,65.00,Heavy Intercessors\t\t\t\t\t\t,105.00,Cheaper in AUD,113.75
147,Archaeopter Stratoraptor,65.00,Broodcoven,105.00,Cheaper in AUD,113.75
148,Bonebreaka,65.00,Exocrine,100.00,Cheaper in AUD,113.75
149,Primaris Repulsor Executioner,65.00,Goliath Truck,100.00,Cheaper in AUD,113.75
150,Daemons Of Khorne Bloodcrushers,65.00,Goliath Rockgrinder,100.00,Cheaper in AUD,113.75
151,Archaeopter Transvector,65.00,Assault Intercessors,98.00,Cheaper in AUD,113.75
152,Stormfang Gunship,52.50,Penitent Engines,98.00,Cheaper in AUD,91.875
153,Exorcist,52.50,Custodian Wardens  ,98.00,Cheaper in AUD,91.875
154,Crimson Hunter,52.50,Serberys Raiders,98.00,Cheaper in AUD,91.875
155,Gladiator Lancer,52.50,Hammerfall Bunker,98.00,Cheaper in AUD,91.875
156,Gladiator Reaper,52.50,Vexilus Praetor,98.00,Cheaper in AUD,91.875
157,Venerable Land Raider,52.50,Pteraxii Sterylizors,98.00,Cheaper in AUD,91.875
158,Primaris Repulsor,52.50,Custodian Wardens Vexilus Praetor,98.00,Cheaper in AUD,91.875
159,Mutalith Vortex Beast,52.50,Nob on Smasha Squig,98.00,Cheaper in AUD,91.875
160,Hemlock Wraithfighter,52.50,Mortifiers,98.00,Cheaper in AUD,91.875
161,Castigator\t\t\t\t\t\t,52.50,Custodian Wardens Shield-Captain,98.00,Cheaper in AUD,91.875
162,Stormwolf,52.50,Dark Reapers,98.00,Cheaper in AUD,91.875
163,Gladiator Valiant,52.50,Convergence of Dominion,98.00,Cheaper in AUD,91.875
164,Centurion Assault Squad,50.00,Shield-Captain on Dawneagle Jetbike,98.00,Worse in AUD,87.5
165,Centurion Devastator Squad,50.00,Squighog Boyz,98.00,Worse in AUD,87.5
166,Kastelan Robots,47.50,Kill Team: Kommandos,98.00,Worse in AUD,83.125
167,Primaris Impulsor,47.50,Chaos Space Marines,98.00,Worse in AUD,83.125
168,Maulerfiend,47.50,Shield-Captain,98.00,Worse in AUD,83.125
169,Nephilim Jetfighter,47.50,Battle Sisters Squad,98.00,Worse in AUD,83.125
170,Blitza-Bommer,47.50,Primaris Crusader Squad,98.00,Worse in AUD,83.125
171,Skorpius Dunerider,47.50,Primaris Reivers,98.00,Worse in AUD,83.125
172,Burna-Bommer,47.50,Blightlord Terminators,98.00,Worse in AUD,83.125
173,Defiler,47.50,Kill Team: Novitiates                                                ,98.00,Worse in AUD,83.125
174,Immolator,47.50,Scarab Occult Terminators,98.00,Worse in AUD,83.125
175,Heldrake,47.50,Serberys Sulphurhounds,98.00,Worse in AUD,83.125
176,Wazbom Blastajet,47.50,Adepta Sororitas Rhino,98.00,Worse in AUD,83.125
177,Dakkajet,47.50,Outriders,98.00,Worse in AUD,83.125
178,Exocrine,47.50,Miasmic Malignifier,98.00,Worse in AUD,83.125
179,Skorpius Disintegrator,47.50,Vertus Praetors,98.00,Worse in AUD,83.125
180,Forgefiend,47.50,Pteraxii Skystalkers,98.00,Worse in AUD,83.125
181,Tyrant Guard,45.00,Dominions & Celestians,98.00,Worse in AUD,78.75
182,Big'ed Bossbunka,45.00,Deffkoptas,98.00,Worse in AUD,78.75
183,Hive Guard,45.00,Custodian Guard Squad,98.00,Worse in AUD,78.75
184,Gaunt's Ghosts\t\t\t\t\t\t,42.50,Centurion Devastator Squad,95.00,Worse in AUD,74.375
185,Paragon Warsuits,42.50,Centurion Assault Squad,95.00,Worse in AUD,74.375
186,Storm Speeder Hailstrike,42.50,Thunderfire Cannon,94.00,Worse in AUD,74.375
187,Stalker,42.50,Celestian Sacresants,90.00,Worse in AUD,74.375
188,Zoanthropes,42.50,Tyranids Hive Tyrant,90.00,Worse in AUD,74.375
189,Land Speeder Vengeance,42.50,Venomthropes,90.00,Worse in AUD,74.375
190,Storm Speeder Hammerstrike,42.50,Hive Guard,90.00,Worse in AUD,74.375
191,Primaris Redemptor Dreadnought,42.50,Marneus Calgar with Victrix Honour Guard,90.00,Worse in AUD,74.375
192,Venomthropes,42.50,Zoanthropes,90.00,Worse in AUD,74.375
193,Hunter,42.50,Tyrant Guard,90.00,Worse in AUD,74.375
194,Storm Speeder Thunderstrike,42.50,The Swarmlord,90.00,Worse in AUD,74.375
195,Ghazghkull Thraka\t\t\t\t\t\t,42.50,Stormtalon Gunship,90.00,Worse in AUD,74.375
196,"Vex Machinator, Arch-Lord Discordant",42.50,Warlocks,90.00,Worse in AUD,74.375
197,Abaddon the Despoiler,40.00,Seraphim Squad,90.00,Worse in AUD,70.0
198,Big Mek in Mega Armour,40.00,Skorpekh Destroyers,90.00,Worse in AUD,70.0
199,Chosen of Mortarion\t\t\t\t\t\t,40.00,"Celestine, the Living Saint",90.00,Worse in AUD,70.0
200,TX78 Sky Ray Gunship,40.00,Zephyrim Squad,90.00,Worse in AUD,70.0
201,Night Scythe,40.00,Lokhust Destroyer Squadron,90.00,Worse in AUD,70.0
202,Roboute Guilliman,40.00,Ophydian Destroyers,90.00,Worse in AUD,70.0
203,Chaos Predator,40.00,Stormhawk Interceptor,90.00,Worse in AUD,70.0
204,Predator Annihilator,40.00,Incubi,90.00,Worse in AUD,70.0
205,Heavy Intercessors\t\t\t\t\t\t,40.00,Belisarius Cawl,90.00,Worse in AUD,70.0
